route_id,agency_id,route_short_name,route_name,route_desc,route_type,route_url,route_color,route_text_color,dummy,Frequency/Timings source,Frequency timings destination,Comments,route_long_name
1,BMTCB,,Jayanagar 4th Block -Yeshwanthpur ,,3,,0000FF,FFFFFF,1,,,,1:Jayanagar 4th Block -Yeshwanthpur 
1A ,BMTCB,,Jayanagar 9th Block -Yeshwanthpur ,,3,,F53333,FFFFFF,1,,,,1A :Jayanagar 9th Block -Yeshwanthpur 
1E ,BMTCB,,J P Nagar 6th Phase -Chowdeshwari Bus Station ,,3,,F53333,FFFFFF,1,,,Runs as 1E only at 9:15AM-runs as 2/99A in all other trips(Posted by ss87),1E :J P Nagar 6th Phase -Chowdeshwari Bus Station 
1F ,BMTCB,,K R Market -Kuvempunagar (BTM Layout) ,,3,,F53333,FFFFFF,1,,,,1F :K R Market -Kuvempunagar (BTM Layout) 
2,BMTCB,,Kempegowda Bus Station -J P Nagar 6th Phase ,,3,,F53333,FFFFFF,1,"04:15,4:40,5AM 5-10 minutes once between 5AM and 10:00PM.Last bus 12AM","4:40,5AM 10 minutes once upto 9:30PM. Last bus at 11:15PM",,2:Kempegowda Bus Station -J P Nagar 6th Phase 
2A ,BMTCB,,Kempegowda Bus Station -J P Nagar 1st Phase ,,3,,F53333,FFFFFF,1,,,,2A :Kempegowda Bus Station -J P Nagar 1st Phase 
2B ,BMTCB,,Kempegowda Bus Station -Ilyasnagar ,,3,,F53333,FFFFFF,1,,,,2B :Kempegowda Bus Station -Ilyasnagar 
2F,BMTCB,,J.P.Nagar 6th phase-Majestic-Basaveshwaranagara,,3,,F53333,FFFFFF,1,,,,2F:J.P.Nagar 6th phase-Majestic-Basaveshwaranagara
2LD,BMTCB,,J.P.Nagar 6th Phase- Vidhana soudha,Ladies Special,3,,F53333,FFFFFF,1,09:15:00,,Bus no. KA-01-FA-127 run on this route,2LD:J.P.Nagar 6th Phase- Vidhana soudha
3,BMTCB,,J P Nagar 6th Phase -Girinagar 2nd Stage ,,3,,F53333,FFFFFF,1,,,,3:J P Nagar 6th Phase -Girinagar 2nd Stage 
3B ,BMTCB,,Jayanagar 9th Block -Banashankari 3rd Stage 2nd Phase ,,3,,F53333,FFFFFF,1,,,,3B :Jayanagar 9th Block -Banashankari 3rd Stage 2nd Phase 
3A,BMTCB,,Jayanagar 9th block-Kathriguppe,,3,,F53333,FFFFFF,1,,,,3A:Jayanagar 9th block-Kathriguppe
3E ,BMTCB,,Kuvempunagar (BTM Layout) -Banashankari 3rd Stage 2nd Phase ,,3,,F53333,FFFFFF,1,,,,3E :Kuvempunagar (BTM Layout) -Banashankari 3rd Stage 2nd Phase 
3F ,BMTCB,,J P Nagar 3rd Phase -Banashankari 3rd Stage 2nd Phase ,,3,,F53333,FFFFFF,1,,,,3F :J P Nagar 3rd Phase -Banashankari 3rd Stage 2nd Phase 
7,BMTCB,,Jayanagar 4th Block -Domlur ,,3,,F53333,FFFFFF,1,,,,7:Jayanagar 4th Block -Domlur 
7D ,BMTCB,,Banashankari -Jeevanabhimanagar ,,3,,F53333,FFFFFF,1,,,,7D :Banashankari -Jeevanabhimanagar 
7H,BMTCB,,Jayanagar 4th block-Jayanagar 4th block,"Wilson garden,Austin town,koramangla BDA,BTM",3,,F53333,FFFFFF,1,,,,7H:Jayanagar 4th block-Jayanagar 4th block
10A ,BMTCB,,K R Market -J P Nagar 3rd Phase ,,3,,F53333,FFFFFF,1,,Runs from vidhanasoudha in the evening,,10A :K R Market -J P Nagar 3rd Phase 
12,BMTCB,,Kempegowda Bus Station -Banashankari ,,3,,F53333,FFFFFF,1,,,,12:Kempegowda Bus Station -Banashankari 
12A ,BMTCB,,Kempegowda Bus Station -Banashankari 2nd Stage ,,3,,F53333,FFFFFF,1,,,,12A :Kempegowda Bus Station -Banashankari 2nd Stage 
12B ,BMTCB,,Kempegowda Bus Station -Padmanabhanagar ,,3,,F53333,FFFFFF,1,,,,12B :Kempegowda Bus Station -Padmanabhanagar 
12C ,BMTCB,,Kempegowda Bus Station -Padmanabhanagar ,,3,,F53333,FFFFFF,1,,,,12C :Kempegowda Bus Station -Padmanabhanagar 
12D ,BMTCB,,Kempegowda Bus Station -Kadirenahalli Park ,,3,,F53333,FFFFFF,1,,,,12D :Kempegowda Bus Station -Kadirenahalli Park 
12E ,BMTCB,,Kempegowda Bus Station -Banashankari ,,3,,F53333,FFFFFF,1,,,,12E :Kempegowda Bus Station -Banashankari 
7F ,BMTCB,,J P Nagar 3rd Phase -Jeevanabhimanagar ,,3,,F53333,FFFFFF,1,Only one service in morning,Only one service in morning,,7F :J P Nagar 3rd Phase -Jeevanabhimanagar 
13,BMTCB,,Shivajinagar -Banashankari ,,3,,F53333,FFFFFF,1,,,,13:Shivajinagar -Banashankari 
13A ,BMTCB,,Shivajinagar -Kumaraswamy Layout 2nd Stage ,,3,,F53333,FFFFFF,1,,,,13A :Shivajinagar -Kumaraswamy Layout 2nd Stage 
13B ,BMTCB,,Shivajinagar -Padmanabhanagar ,,3,,F53333,FFFFFF,1,,,,13B :Shivajinagar -Padmanabhanagar 
13C ,BMTCB,,Shivajinagar -Kumaraswamy Layout ,,3,,F53333,FFFFFF,1,,,,13C :Shivajinagar -Kumaraswamy Layout 
13D ,BMTCB,,Shivajinagar -Kadirenahalli Park ,,3,,F53333,FFFFFF,1,,,,13D :Shivajinagar -Kadirenahalli Park 
13E ,BMTCB,,Shivajinagar -Srividyanagar ,,3,,F53333,FFFFFF,1,,,,13E :Shivajinagar -Srividyanagar 
13F ,BMTCB,,Shivajinagar -Chennammanakere Achkattu ,,3,,F53333,FFFFFF,1,,,,13F :Shivajinagar -Chennammanakere Achkattu 
13G ,BMTCB,,Shivajinagar -JHBCS Layout ,,3,,F53333,FFFFFF,1,,,,13G :Shivajinagar -JHBCS Layout 
13H ,BMTCB,,Shivajinagar -Arehalli AGS Layout ,,3,,F53333,FFFFFF,1,,,,13H :Shivajinagar -Arehalli AGS Layout 
13J ,BMTCB,,Shivajinagar -Hosakerehalli ,,3,,F53333,FFFFFF,1,,,,13J :Shivajinagar -Hosakerehalli 
13K ,BMTCB,,Shivajinagar -Minaznagar ,,3,,F53333,FFFFFF,1,,,,13K :Shivajinagar -Minaznagar 
14,BMTCB,,Banashankari -Malleswaram 18th Cross ,,3,,F53333,FFFFFF,1,,,,14:Banashankari -Malleswaram 18th Cross 
14A ,BMTCB,,Banashankari -Mathikere ,,3,,F53333,FFFFFF,1,,,,14A :Banashankari -Mathikere 
14B ,BMTCB,,Banashankari -Devasandra,,3,,F53333,FFFFFF,1,,,,14B :Banashankari -Devasandra
15,BMTCB,,K R Market -Banashankari 2nd Stage ,,3,,F53333,FFFFFF,1,,,,15:K R Market -Banashankari 2nd Stage 
15A ,BMTCB,,K R Market -Padmanabhanagar ,,3,,F53333,FFFFFF,1,,,,15A :K R Market -Padmanabhanagar 
15C ,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout ,,3,,F53333,FFFFFF,1,,,,15C :Kempegowda Bus Station -Kumaraswamy Layout 
15E ,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout ,,3,,F53333,FFFFFF,1,5-10 minutes once,,,15E :Kempegowda Bus Station -Kumaraswamy Layout 
15F ,BMTCB,,K R Market -Kumaraswamy Layout 2nd Stage ,,3,,F53333,FFFFFF,1,,,,15F :K R Market -Kumaraswamy Layout 2nd Stage 
